id,sex,nationality,CA,AA,positive_emotions,negative_emotions,Fluency,Flexibility,Originality,flexibility_fluency,originality_fluency,AA_R,attitudes,negative_ER,emotions
1,1,1,4.428571429,3.545454545,2.5,2,12,13,35,1.083333333,2.916666667,3.454545455,3.941558442,4,3.25
2,1,1,5,3.181818182,3.5,3,15,6,21,0.4,1.4,3.818181818,4.409090909,3,3.25
3,1,2,2.833333333,4.8,3,4.666666667,22,17,27,0.772727273,1.227272727,2.2,2.516666667,1.333333333,2.166666667
4,1,2,3,3.4,2.5,3.666666667,20,14,23,0.7,1.15,3.6,3.3,2.333333333,2.416666667
5,1,1,3.428571429,3.545454545,2.5,1.666666667,10,9,6,0.9,0.6,3.454545455,3.441558442,4.333333333,3.416666667
6,1,2,3.666666667,3,3,3,16,11,15,0.6875,0.9375,4,3.833333334,3,3
7,0,1,4.428571429,3.545454545,3.5,2.333333333,8,4,5,0.5,0.625,3.454545455,3.941558442,3.666666667,3.583333333
8,0,2,4,2,3.5,1,5,5,10,1,2,5,4.5,5,4.25
9,1,2,2.166666667,4.2,2.5,3.666666667,22,12,29,0.545454545,1.318181818,2.8,2.483333334,2.333333333,2.416666667
10,1,2,3,4,3,3,15,11,12,0.733333333,0.8,3,3,3,3
11,1,2,3,2.6,2,1.666666667,6,5,11,0.833333333,1.833333333,4.4,3.7,4.333333333,3.166666667
12,0,2,1.666666667,5,2.5,2,29,17,55,0.586206897,1.896551724,2,1.833333334,4,3.25
13,1,2,2,4.6,3.5,3.333333333,24,17,31,0.708333333,1.291666667,2.4,2.2,2.666666667,3.083333333
14,1,1,2.714285714,4.363636364,1,1.333333333,19,10,22,0.526315789,1.157894737,2.636363636,2.675324675,4.666666667,2.833333333
15,0,2,4,2.8,3.5,2,21,13,37,0.619047619,1.761904762,4.2,4.1,4,3.75
16,1,1,2.428571429,4.545454545,2,3.333333333,6,3,10,0.5,1.666666667,2.454545455,2.441558442,2.666666667,2.333333333
17,1,2,3.833333333,2,3.5,1.333333333,19,15,24,0.789473684,1.263157895,5,4.416666667,4.666666667,4.083333333
18,1,2,5.83,3.4,4.5,1.67,7,8,14,1.14,2,3.6,4.715,4.33,4.415
19,0,2,3.5,3.8,3.5,2,17,12,15,0.705882353,0.882352941,3.2,3.35,4,3.75
20,0,2,1.666666667,3.4,2,2.666666667,13,10,18,0.769230769,1.384615385,3.6,2.633333334,3.333333333,2.666666667
21,1,2,1.666666667,4.6,3,3.666666667,17,15,17,0.882352941,1,2.4,2.033333334,2.333333333,2.666666667
22,1,1,3,3.818181818,3,1,13,9,26,0.692307692,2,3.181818182,3.090909091,5,4
23,1,1,2.714285714,2.454545455,3.5,2,4,4,6,1,1.5,4.545454545,3.62987013,4,3.75
24,1,2,2,4,2.5,3,16,12,8,0.75,0.5,3,2.5,3,2.75
25,1,1,3,4,2,3,10,7,12,0.7,1.2,3,3,3,2.5
26,0,1,3.714285714,3.818181818,3,2.333333333,10,9,10,0.9,1,3.181818182,3.448051948,3.666666667,3.333333333
27,1,1,3.857142857,3,2,1,14,9,8,0.642857143,0.571428571,4,3.928571429,5,3.5
28,0,1,3.142857143,4,2.5,2.333333333,8,6,9,0.75,1.125,3,3.071428572,3.666666667,3.083333333
29,1,2,2.5,2.2,3,1,7,5,5,0.714285714,0.714285714,4.8,3.65,5,4
30,0,2,4.333333333,3.2,4,2.333333333,16,10,13,0.625,0.8125,3.8,4.066666667,3.666666667,3.833333333
31,1,2,1.333333333,5.4,2.5,3,14,11,6,0.785714286,0.428571429,1.6,1.466666667,3,2.75
